"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","24683","0.0-0.0","60d9faa609c8dcb9e5e05481","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","440095","0.0-1.0-0.0","60d9faa609c8dcb9e5e05481","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","449366","0.0-2.0-0.0","60d9faa609c8dcb9e5e05481","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","469700","0.0-2.0-1.0","60d9faa609c8dcb9e5e05481","F1","batch6","","20331.200000047684","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","470503","0.0-2.0-2.0-0.0","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","479284","0.0-2.0-2.0-1.0","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","8772.799999952316","img/question_1_1.jpeg","3","mat_01","4","1","1","8772.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","480342","0.0-2.0-2.0-0.1","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","485126","0.0-2.0-2.0-1.1","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","4780.299999952316","img/question_1_2.jpeg","4","mat_02","5","1","1","4780.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","486195","0.0-2.0-2.0-0.2","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","494020","0.0-2.0-2.0-1.2","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","7820.5","img/question_1_3.jpeg","0","mat_03","1","1","1","7820.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","495076","0.0-2.0-2.0-0.3","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","503852","0.0-2.0-2.0-1.3","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","8772.100000023842","img/question_1_4.jpeg","1","mat_04","2","1","1","8772.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","504909","0.0-2.0-2.0-0.4","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","513672","0.0-2.0-2.0-1.4","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","8759.299999952316","img/question_1_5.jpeg","5","mat_05","6","1","1","8759.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","514734","0.0-2.0-2.0-0.5","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","518564","0.0-2.0-2.0-1.5","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","3826.2000000476837","img/question_1_6.jpeg","2","mat_06","3","1","1","3826.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","519624","0.0-2.0-2.0-0.6","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","530878","0.0-2.0-2.0-1.6","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","11250.899999976158","img/question_1_7.jpeg","5","mat_07","6","1","1","11250.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","531944","0.0-2.0-2.0-0.7","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","543765","0.0-2.0-2.0-1.7","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","11815.5","img/question_1_8.jpeg","1","mat_08","2","1","1","11815.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","544830","0.0-2.0-2.0-0.8","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","550805","0.0-2.0-2.0-1.8","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","5970.5","img/question_1_9.jpeg","0","mat_09","1","1","1","5970.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","551864","0.0-2.0-2.0-0.9","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","564371","0.0-2.0-2.0-1.9","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","12503.100000023842","img/question_1_10.jpeg","2","mat_10","3","1","1","12503.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","565426","0.0-2.0-2.0-0.10","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","584289","0.0-2.0-2.0-1.10","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","18858.600000023842","img/question_1_11.jpeg","4","mat_11","4","0","0","18858.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","585341","0.0-2.0-2.0-0.11","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","600115","0.0-2.0-2.0-1.11","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","14770.300000071526","img/question_1_12.jpeg","0","mat_12","5","0","0","14770.300000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","601174","0.0-2.0-2.0-0.12","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","605498","0.0-2.0-2.0-1.12","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","4320.199999928474","img/question_2_1.jpeg","1","mat_13","2","1","1","4320.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","606555","0.0-2.0-2.0-0.13","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","612428","0.0-2.0-2.0-1.13","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","5869.899999976158","img/question_2_2.jpeg","5","mat_14","6","1","1","5869.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","613482","0.0-2.0-2.0-0.14","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","618178","0.0-2.0-2.0-1.14","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","4692.800000071526","img/question_2_3.jpeg","0","mat_15","1","1","1","4692.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","619231","0.0-2.0-2.0-0.15","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","626248","0.0-2.0-2.0-1.15","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","7013.800000071526","img/question_2_4.jpeg","1","mat_16","2","1","1","7013.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","627308","0.0-2.0-2.0-0.16","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","635794","0.0-2.0-2.0-1.16","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","8482.399999976158","img/question_2_5.jpeg","0","mat_17","1","1","1","8482.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","636861","0.0-2.0-2.0-0.17","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","648493","0.0-2.0-2.0-1.17","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","11627.800000071526","img/question_2_6.jpeg","2","mat_18","3","1","1","11627.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","649565","0.0-2.0-2.0-0.18","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","658314","0.0-2.0-2.0-1.18","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","8746.600000023842","img/question_2_7.jpeg","4","mat_19","5","1","1","8746.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","659370","0.0-2.0-2.0-0.19","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","669273","0.0-2.0-2.0-1.19","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","9898.5","img/question_2_8.jpeg","5","mat_20","6","1","1","9898.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","670332","0.0-2.0-2.0-0.20","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","676339","0.0-2.0-2.0-1.20","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","6002.300000071526","img/question_2_9.jpeg","3","mat_21","4","1","1","6002.300000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","677396","0.0-2.0-2.0-0.21","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","686683","0.0-2.0-2.0-1.21","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","9283.200000047684","img/question_2_10.jpeg","2","mat_22","3","1","1","9283.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","687736","0.0-2.0-2.0-0.22","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","692569","0.0-2.0-2.0-1.22","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","4827.899999976158","img/question_2_11.jpeg","3","mat_23","4","1","1","4827.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","693629","0.0-2.0-2.0-0.23","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","702910","0.0-2.0-2.0-1.23","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","9277.299999952316","img/question_2_12.jpeg","1","mat_24","5","0","0","9277.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","707451","0.0-2.0-3.0","60d9faa609c8dcb9e5e05481","F1","batch6","attention_check","4287.600000023842","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","708252","0.0-2.0-4.0-0.0","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","717517","0.0-2.0-4.0-1.0","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","9260.399999976158","img/question_3_1.jpeg","7","mat_25","8","1","1","9260.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","718586","0.0-2.0-4.0-0.1","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","766093","0.0-2.0-4.0-1.1","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","47502.39999997616","img/question_3_2.jpeg","1","mat_26","2","1","1","47502.39999997616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","767156","0.0-2.0-4.0-0.2","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","778393","0.0-2.0-4.0-1.2","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","11232.600000023842","img/question_3_3.jpeg","2","mat_27","3","1","1","11232.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","779445","0.0-2.0-4.0-0.3","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","817093","0.0-2.0-4.0-1.3","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","37643.299999952316","img/question_3_4.jpeg","7","mat_28","8","1","1","37643.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","818158","0.0-2.0-4.0-0.4","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 29 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","62","832371","0.0-2.0-4.0-1.4","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","14208.200000047684","img/question_3_5.jpeg","6","mat_29","7","1","1","14208.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","833430","0.0-2.0-4.0-0.5","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 30 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","64","851599","0.0-2.0-4.0-1.5","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","18164.200000047684","img/question_3_6.jpeg","3","mat_30","4","1","1","18164.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","852657","0.0-2.0-4.0-0.6","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 31 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","66","876384","0.0-2.0-4.0-1.6","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","23725.100000023842","img/question_3_7.jpeg","4","mat_31","5","1","1","23725.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","67","877437","0.0-2.0-4.0-0.7","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 32 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","68","940741","0.0-2.0-4.0-1.7","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","63299.39999997616","img/question_3_8.jpeg","0","mat_32","1","1","1","63299.39999997616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","69","941804","0.0-2.0-4.0-0.8","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 33 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","70","952205","0.0-2.0-4.0-1.8","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","10398.800000071526","img/question_3_9.jpeg","6","mat_33","7","1","1","10398.800000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","71","953258","0.0-2.0-4.0-0.9","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 34 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","72","982641","0.0-2.0-4.0-1.9","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","29379","img/question_3_10.jpeg","5","mat_34","6","1","1","29379","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","73","983694","0.0-2.0-4.0-0.10","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 35 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","74","1060577","0.0-2.0-4.0-1.10","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","76878.60000002384","img/question_3_11.jpeg","1","mat_35","1","0","0","76878.60000002384","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","75","1061634","0.0-2.0-4.0-0.11","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 36 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","76","1097055","0.0-2.0-4.0-1.11","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","35416.39999997616","img/question_3_12.jpeg","2","mat_36","2","0","0","35416.39999997616","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","1098114","0.0-2.0-4.0-0.12","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 37 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","78","1103099","0.0-2.0-4.0-1.12","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","4980.5","img/question_4_1.jpeg","2","mat_37","3","1","1","4980.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","79","1104155","0.0-2.0-4.0-0.13","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 38 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","80","1109693","0.0-2.0-4.0-1.13","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","5533.600000023842","img/question_4_2.jpeg","3","mat_38","4","1","1","5533.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","81","1110744","0.0-2.0-4.0-0.14","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 39 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","82","1122665","0.0-2.0-4.0-1.14","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","11916.5","img/question_4_3.jpeg","2","mat_39","3","1","1","11916.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","83","1123736","0.0-2.0-4.0-0.15","60d9faa609c8dcb9e5e05481","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 40 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","84","1151139","0.0-2.0-4.0-1.15","60d9faa609c8dcb9e5e05481","F1","batch6","spm_respsonse","27398.399999976158","img/question_4_4.jpeg","6","mat_40","7","1","1","27398.399999976158","","","","","","","","","","","","","","","","","","","","",""
